T09,Health Personnel,,,,,
152,Chile,2017,Health personnel: Nurses and midwives personnel (per 1000 population),12.1372,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
152,Chile,2018,Health personnel: Physicians (number),48531.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
152,Chile,2018,Health personnel: Physicians (per 1000 population),25.9100,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
152,Chile,2018,Health personnel: Pharmacists (number),9858.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
152,Chile,2018,Health personnel: Pharmacists (per 1000 population),0.5263,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
152,Chile,2018,Health personnel: Nurses and midwives personnel (per 1000 population),13.3248,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2005,Health personnel: Physicians (number),1622684.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2005,Health personnel: Physicians (per 1000 population),12.1300,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2005,Health personnel: Dentists (number),51012.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2005,Health personnel: Dentists (per 1000 population),0.0384,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2005,Health personnel: Pharmacists (number),349533.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2005,Health personnel: Pharmacists (per 1000 population),0.2612,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2005,Health personnel: Nurses and midwives (number),1349589.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2005,Health personnel: Nurses and midwives personnel (per 1000 population),1.0086,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2010,Health personnel: Physicians (number),2000000.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2010,Health personnel: Physicians (per 1000 population),14.5300,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2010,Health personnel: Pharmacists (number),353916.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2010,Health personnel: Pharmacists (per 1000 population),0.2571,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2010,Health personnel: Nurses and midwives (number),2048071.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2010,Health personnel: Nurses and midwives personnel (per 1000 population),1.4881,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2011,Health personnel: Physicians (number),2025873.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2011,Health personnel: Physicians (per 1000 population),14.6400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2011,Health personnel: Dentists (number),119000.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2011,Health personnel: Dentists (per 1000 population),0.0865,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2011,Health personnel: Pharmacists (number),363993.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2011,Health personnel: Pharmacists (per 1000 population),0.2630,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2011,Health personnel: Nurses and midwives (number),2244020.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2011,Health personnel: Nurses and midwives personnel (per 1000 population),1.6213,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2015,Health personnel: Physicians (number),2508408.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2015,Health personnel: Physicians (per 1000 population),17.7300,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2015,Health personnel: Pharmacists (number),423294.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2015,Health personnel: Pharmacists (per 1000 population),0.2992,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2015,Health personnel: Nurses and midwives (number),3241469.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2015,Health personnel: Nurses and midwives personnel (per 1000 population),2.2914,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2017,Health personnel: Physicians (number),2828999.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2017,Health personnel: Physicians (per 1000 population),19.8000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2017,Health personnel: Pharmacists (number),453000.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2017,Health personnel: Pharmacists (per 1000 population),0.3170,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2017,Health personnel: Nurses and midwives (number),3804021.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
156,China,2017,Health personnel: Nurses and midwives personnel (per 1000 population),2.6621,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2005,Health personnel: Physicians (number),62807.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2005,Health personnel: Physicians (per 1000 population),14.7300,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2005,Health personnel: Dentists (number),37371.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2005,Health personnel: Dentists (per 1000 population),0.8634,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2005,Health personnel: Nurses and midwives (number),28163.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2005,Health personnel: Nurses and midwives personnel (per 1000 population),0.6604,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2010,Health personnel: Physicians (number),71980.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2010,Health personnel: Physicians (per 1000 population),15.9200,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2010,Health personnel: Dentists (number),44858.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2010,Health personnel: Dentists (per 1000 population),0.9769,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2010,Health personnel: Nurses and midwives (number),39226.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2010,Health personnel: Nurses and midwives personnel (per 1000 population),0.8674,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2015,Health personnel: Physicians (number),93815.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2015,Health personnel: Physicians (per 1000 population),19.7400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2015,Health personnel: Dentists (number),46299.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2015,Health personnel: Dentists (per 1000 population),0.9600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2015,Health personnel: Nurses and midwives (number),55369.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2015,Health personnel: Nurses and midwives personnel (per 1000 population),1.1652,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2017,Health personnel: Physicians (number),103026.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2017,Health personnel: Physicians (per 1000 population),21.0600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2017,Health personnel: Nurses and midwives (number),62184.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2017,Health personnel: Nurses and midwives personnel (per 1000 population),1.2714,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2018,Health personnel: Physicians (number),108499.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2018,Health personnel: Physicians (per 1000 population),21.8500,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
170,Colombia,2018,Health personnel: Nurses and midwives personnel (per 1000 population),1.3309,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2005,Health personnel: Physicians (number),116.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2005,Health personnel: Physicians (per 1000 population),1.9000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2005,Health personnel: Dentists (number),17.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2005,Health personnel: Dentists (per 1000 population),0.0278,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2005,Health personnel: Pharmacists (number),15.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2005,Health personnel: Pharmacists (per 1000 population),0.0245,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2005,Health personnel: Nurses and midwives (number),344.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2005,Health personnel: Nurses and midwives personnel (per 1000 population),0.5625,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2009,Health personnel: Physicians (number),128.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2009,Health personnel: Physicians (per 1000 population),1.9000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2009,Health personnel: Dentists (number),21.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2009,Health personnel: Dentists (per 1000 population),0.0312,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2009,Health personnel: Pharmacists (number),18.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2009,Health personnel: Pharmacists (per 1000 population),0.0267,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2009,Health personnel: Nurses and midwives (number),473.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2009,Health personnel: Nurses and midwives personnel (per 1000 population),0.7025,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2012,Health personnel: Physicians (number),123.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2012,Health personnel: Physicians (per 1000 population),1.7000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2012,Health personnel: Dentists (number),18.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2012,Health personnel: Dentists (per 1000 population),0.0249,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2012,Health personnel: Pharmacists (number),16.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2012,Health personnel: Pharmacists (per 1000 population),0.0221,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2012,Health personnel: Nurses and midwives (number),667.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2012,Health personnel: Nurses and midwives personnel (per 1000 population),0.9214,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2013,Health personnel: Nurses and midwives (number),295.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2013,Health personnel: Nurses and midwives personnel (per 1000 population),0.3978,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2016,Health personnel: Physicians (number),216.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2016,Health personnel: Physicians (per 1000 population),2.7200,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2016,Health personnel: Nurses and midwives (number),500.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
174,Comoros,2016,Health personnel: Nurses and midwives personnel (per 1000 population),0.6285,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2004,Health personnel: Physicians (number),756.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2004,Health personnel: Physicians (per 1000 population),2.1500,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2004,Health personnel: Nurses and midwives (number),3672.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2004,Health personnel: Nurses and midwives personnel (per 1000 population),1.0460,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2007,Health personnel: Physicians (number),401.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2007,Health personnel: Physicians (per 1000 population),1.0400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2007,Health personnel: Pharmacists (number),38.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2007,Health personnel: Pharmacists (per 1000 population),0.0098,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2007,Health personnel: Nurses and midwives (number),3492.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2007,Health personnel: Nurses and midwives personnel (per 1000 population),0.9009,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2010,Health personnel: Physicians (number),494.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2010,Health personnel: Physicians (per 1000 population),1.1600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2010,Health personnel: Nurses and midwives (number),1867.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2010,Health personnel: Nurses and midwives personnel (per 1000 population),0.4369,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2011,Health personnel: Physicians (number),723.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2011,Health personnel: Physicians (per 1000 population),1.6500,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2011,Health personnel: Dentists (number),133.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2011,Health personnel: Dentists (per 1000 population),0.0295,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2011,Health personnel: Pharmacists (number),250.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2011,Health personnel: Pharmacists (per 1000 population),0.0569,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2011,Health personnel: Nurses and midwives (number),7866.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2011,Health personnel: Nurses and midwives personnel (per 1000 population),1.7898,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2015,Health personnel: Nurses and midwives (number),3852.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2015,Health personnel: Nurses and midwives personnel (per 1000 population),0.7932,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2016,Health personnel: Pharmacists (number),191.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2016,Health personnel: Pharmacists (per 1000 population),0.0383,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2016,Health personnel: Nurses and midwives (number),3717.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2016,Health personnel: Nurses and midwives personnel (per 1000 population),0.7462,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
178,Congo,2018,Health personnel: Nurses and midwives personnel (per 1000 population),0.6271,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2001,Health personnel: Physicians (number),14.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2001,Health personnel: Physicians (per 1000 population),7.7800,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2001,Health personnel: Dentists (number),10.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2001,Health personnel: Dentists (per 1000 population),0.5464,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2001,Health personnel: Pharmacists (number),2.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2001,Health personnel: Pharmacists (per 1000 population),0.1111,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2001,Health personnel: Nurses and midwives (number),52.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2001,Health personnel: Nurses and midwives personnel (per 1000 population),2.8889,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2004,Health personnel: Physicians (number),20.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2004,Health personnel: Physicians (per 1000 population),10.5800,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2004,Health personnel: Dentists (number),10.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2004,Health personnel: Dentists (per 1000 population),0.5128,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2004,Health personnel: Nurses and midwives (number),80.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2004,Health personnel: Nurses and midwives personnel (per 1000 population),4.2328,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2009,Health personnel: Physicians (number),24.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2009,Health personnel: Physicians (per 1000 population),12.9000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2009,Health personnel: Dentists (number),4.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2009,Health personnel: Dentists (per 1000 population),0.2116,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2009,Health personnel: Pharmacists (number),1.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2009,Health personnel: Pharmacists (per 1000 population),0.0538,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2009,Health personnel: Nurses and midwives (number),116.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2009,Health personnel: Nurses and midwives personnel (per 1000 population),6.2366,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2014,Health personnel: Physicians (number),25.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2014,Health personnel: Physicians (per 1000 population),14.1200,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2014,Health personnel: Dentists (number),22.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2014,Health personnel: Dentists (per 1000 population),1.2500,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2014,Health personnel: Pharmacists (number),1.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2014,Health personnel: Pharmacists (per 1000 population),0.0565,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2014,Health personnel: Nurses and midwives (number),116.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2014,Health personnel: Nurses and midwives personnel (per 1000 population),6.5537,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2015,Health personnel: Nurses and midwives (number),120.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2015,Health personnel: Nurses and midwives personnel (per 1000 population),6.8182,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2017,Health personnel: Nurses and midwives (number),107.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2017,Health personnel: Nurses and midwives personnel (per 1000 population),6.1143,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
184,Cook Islands,2018,Health personnel: Nurses and midwives personnel (per 1000 population),6.7429,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2000,Health personnel: Physicians (number),5204.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2000,Health personnel: Physicians (per 1000 population),13.1300,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2000,Health personnel: Dentists (number),1467.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2000,Health personnel: Dentists (per 1000 population),0.3737,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2000,Health personnel: Pharmacists (number),1144.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2000,Health personnel: Pharmacists (per 1000 population),0.2887,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2000,Health personnel: Nurses and midwives (number),3653.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2000,Health personnel: Nurses and midwives personnel (per 1000 population),0.9219,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2005,Health personnel: Nurses and midwives (number),6232.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2005,Health personnel: Nurses and midwives personnel (per 1000 population),1.4542,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2010,Health personnel: Physicians (number),10554.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2010,Health personnel: Physicians (per 1000 population),23.0600,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2010,Health personnel: Nurses and midwives (number),8527.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2010,Health personnel: Nurses and midwives personnel (per 1000 population),1.8628,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2013,Health personnel: Physicians (number),5411.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2013,Health personnel: Physicians (per 1000 population),11.4100,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2013,Health personnel: Dentists (number),599.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2013,Health personnel: Dentists (per 1000 population),0.1273,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2013,Health personnel: Pharmacists (number),891.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
188,Costa Rica,2013,Health personnel: Pharmacists (per 1000 population),0.1879,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
