T26,Population employed in research and development (R&D),,,,,
446,"China, Macao SAR",2017,R & D personnel: Researchers - women (number in full-time equivalent),789.5933,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2017,R & D personnel: Technicians - total (number in full-time equivalent),135.7300,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2017,R & D personnel: Technicians - women (number in full-time equivalent),57.8000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),38.4500,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
446,"China, Macao SAR",2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),28.4500,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,R & D personnel: Researchers - total (number in full-time equivalent),4305.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
170,Colombia,2017,R & D personnel: Researchers - women (number in full-time equivalent),1621.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
178,Congo,2000,R & D personnel: Total (number in full-time equivalent),217.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
178,Congo,2000,R & D personnel: Researchers - total (number in full-time equivalent),101.7500,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
178,Congo,2000,R & D personnel: Researchers - women (number in full-time equivalent),13.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
178,Congo,2000,R & D personnel: Technicians - total (number in full-time equivalent),111.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
178,Congo,2000,R & D personnel: Technicians - women (number in full-time equivalent),22.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
178,Congo,2000,R & D personnel: Other supporting staff - total (number in full-time equivalent),3.7500,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2005,R & D personnel: Researchers - total (number in full-time equivalent),1144.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2005,R & D personnel: Researchers - women (number in full-time equivalent),569.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2010,R & D personnel: Total (number in full-time equivalent),6156.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2010,R & D personnel: Researchers - total (number in full-time equivalent),3569.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2010,R & D personnel: Researchers - women (number in full-time equivalent),1475.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2010,R & D personnel: Technicians - total (number in full-time equivalent),1326.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2010,R & D personnel: Technicians - women (number in full-time equivalent),388.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),1261.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),476.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2016,R & D personnel: Total (number in full-time equivalent),5525.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2016,R & D personnel: Researchers - total (number in full-time equivalent),3885.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2016,R & D personnel: Researchers - women (number in full-time equivalent),1663.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2016,R & D personnel: Technicians - total (number in full-time equivalent),815.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2016,R & D personnel: Technicians - women (number in full-time equivalent),310.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),825.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),248.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2017,R & D personnel: Researchers - total (number in full-time equivalent),3834.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
188,Costa Rica,2017,R & D personnel: Researchers - women (number in full-time equivalent),1700.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
384,Côte d’Ivoire,2005,R & D personnel: Researchers - women (number in full-time equivalent),395.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
384,Côte d’Ivoire,2016,R & D personnel: Total (number in full-time equivalent),5729.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
384,Côte d’Ivoire,2016,R & D personnel: Researchers - women (number in full-time equivalent),728.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
384,Côte d’Ivoire,2016,R & D personnel: Technicians - total (number in full-time equivalent),1214.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
384,Côte d’Ivoire,2016,R & D personnel: Technicians - women (number in full-time equivalent),1012.0000,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding technicians and equivalent staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
384,Côte d’Ivoire,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),229.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
384,Côte d’Ivoire,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),52.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,R & D personnel: Total (number in full-time equivalent),9270.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,R & D personnel: Researchers - total (number in full-time equivalent),5727.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,R & D personnel: Researchers - women (number in full-time equivalent),2710.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,R & D personnel: Technicians - total (number in full-time equivalent),2633.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,R & D personnel: Technicians - women (number in full-time equivalent),1196.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),910.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),584.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,R & D personnel: Total (number in full-time equivalent),10859.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,R & D personnel: Researchers - total (number in full-time equivalent),7104.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,R & D personnel: Researchers - women (number in full-time equivalent),3485.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,R & D personnel: Technicians - total (number in full-time equivalent),2601.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,R & D personnel: Technicians - women (number in full-time equivalent),1280.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),1154.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),768.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2016,R & D personnel: Total (number in full-time equivalent),11536.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2016,R & D personnel: Researchers - total (number in full-time equivalent),7788.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2016,R & D personnel: Researchers - women (number in full-time equivalent),3762.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2016,R & D personnel: Technicians - total (number in full-time equivalent),2686.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2016,R & D personnel: Technicians - women (number in full-time equivalent),1338.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),1062.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),741.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2017,R & D personnel: Total (number in full-time equivalent),11778.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
191,Croatia,2017,R & D personnel: Researchers - total (number in full-time equivalent),7815.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2005,R & D personnel: Total (number in full-time equivalent),33988.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2005,R & D personnel: Researchers - total (number in full-time equivalent),5526.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2005,R & D personnel: Researchers - women (number in full-time equivalent),2703.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),28462.0000,Head count instead of Full-time equivalent.;Including technicians and equivalent staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2010,R & D personnel: Total (number in full-time equivalent),16641.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2010,R & D personnel: Researchers - total (number in full-time equivalent),4872.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2010,R & D personnel: Researchers - women (number in full-time equivalent),2381.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),11769.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2017,R & D personnel: Total (number in full-time equivalent),18729.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2017,R & D personnel: Researchers - total (number in full-time equivalent),6878.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2017,R & D personnel: Researchers - women (number in full-time equivalent),3370.2000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
192,Cuba,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),11851.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,R & D personnel: Total (number in full-time equivalent),1157.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,R & D personnel: Researchers - total (number in full-time equivalent),682.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,R & D personnel: Researchers - women (number in full-time equivalent),239.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,R & D personnel: Technicians - total (number in full-time equivalent),273.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,R & D personnel: Technicians - women (number in full-time equivalent),98.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),201.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),105.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,R & D personnel: Total (number in full-time equivalent),1302.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,R & D personnel: Researchers - total (number in full-time equivalent),905.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,R & D personnel: Researchers - women (number in full-time equivalent),337.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,R & D personnel: Technicians - total (number in full-time equivalent),216.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,R & D personnel: Technicians - women (number in full-time equivalent),89.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),181.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),101.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2016,R & D personnel: Total (number in full-time equivalent),1356.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2016,R & D personnel: Researchers - total (number in full-time equivalent),898.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2016,R & D personnel: Researchers - women (number in full-time equivalent),332.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2016,R & D personnel: Technicians - total (number in full-time equivalent),232.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2016,R & D personnel: Technicians - women (number in full-time equivalent),98.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),225.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),121.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2017,R & D personnel: Total (number in full-time equivalent),1485.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2017,R & D personnel: Researchers - total (number in full-time equivalent),1015.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,R & D personnel: Total (number in full-time equivalent),43370.4310,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,R & D personnel: Researchers - total (number in full-time equivalent),24169.0690,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,R & D personnel: Researchers - women (number in full-time equivalent),6348.9640,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,R & D personnel: Technicians - total (number in full-time equivalent),13772.6600,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,R & D personnel: Technicians - women (number in full-time equivalent),5152.9850,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5428.7040,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),2633.2090,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,R & D personnel: Total (number in full-time equivalent),52290.1310,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,R & D personnel: Researchers - total (number in full-time equivalent),29227.8790,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,R & D personnel: Researchers - women (number in full-time equivalent),7429.0380,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,R & D personnel: Technicians - total (number in full-time equivalent),15970.6570,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,R & D personnel: Technicians - women (number in full-time equivalent),5140.5340,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),7091.6080,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),3369.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2016,R & D personnel: Total (number in full-time equivalent),65782.9950,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2016,R & D personnel: Researchers - total (number in full-time equivalent),37337.7250,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2016,R & D personnel: Researchers - women (number in full-time equivalent),8609.8370,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2016,R & D personnel: Technicians - total (number in full-time equivalent),19421.3110,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2016,R & D personnel: Technicians - women (number in full-time equivalent),5812.7010,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),9023.9590,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),4237.4990,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2017,R & D personnel: Total (number in full-time equivalent),69735.6530,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2017,R & D personnel: Researchers - total (number in full-time equivalent),39180.6440,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2017,R & D personnel: Researchers - women (number in full-time equivalent),9059.6610,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
