T10,Expenditure on health,,,,,
132,Cabo Verde,2005,Domestic general government health expenditure (% of total government expenditure),8.8029,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
132,Cabo Verde,2010,Domestic general government health expenditure (% of total government expenditure),7.2294,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
132,Cabo Verde,2015,Domestic general government health expenditure (% of total government expenditure),10.0914,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
132,Cabo Verde,2016,Domestic general government health expenditure (% of total government expenditure),10.3892,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
132,Cabo Verde,2017,Domestic general government health expenditure (% of total government expenditure),9.8551,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2000,Current health expenditure (% of GDP),6.5410,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2005,Current health expenditure (% of GDP),6.8528,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2010,Current health expenditure (% of GDP),6.9117,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2015,Current health expenditure (% of GDP),6.1943,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2016,Current health expenditure (% of GDP),6.1165,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2017,Current health expenditure (% of GDP),5.9188,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2000,Domestic general government health expenditure (% of total government expenditure),8.5917,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2005,Domestic general government health expenditure (% of total government expenditure),9.8988,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2010,Domestic general government health expenditure (% of total government expenditure),6.5196,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2015,Domestic general government health expenditure (% of total government expenditure),6.4211,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2016,Domestic general government health expenditure (% of total government expenditure),6.0031,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
116,Cambodia,2017,Domestic general government health expenditure (% of total government expenditure),6.0787,Data refer to fiscal years beginning 1 July.;2012 data are based on a health accounts study based on SHA2011. Numbers were converted to SHA 1.0 format for comparability.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2000,Current health expenditure (% of GDP),3.9823,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2005,Current health expenditure (% of GDP),4.1421,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2010,Current health expenditure (% of GDP),4.5039,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2015,Current health expenditure (% of GDP),4.6995,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2016,Current health expenditure (% of GDP),4.6791,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2017,Current health expenditure (% of GDP),4.6707,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2000,Domestic general government health expenditure (% of total government expenditure),4.4263,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2005,Domestic general government health expenditure (% of total government expenditure),5.2475,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2010,Domestic general government health expenditure (% of total government expenditure),5.0882,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2015,Domestic general government health expenditure (% of total government expenditure),3.2514,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2016,Domestic general government health expenditure (% of total government expenditure),2.9547,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
120,Cameroon,2017,Domestic general government health expenditure (% of total government expenditure),3.1372,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2000,Current health expenditure (% of GDP),8.2757,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2005,Current health expenditure (% of GDP),9.0644,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2010,Current health expenditure (% of GDP),10.6821,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2015,Current health expenditure (% of GDP),10.5107,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2016,Current health expenditure (% of GDP),10.7379,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2017,Current health expenditure (% of GDP),10.5728,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2000,Domestic general government health expenditure (% of total government expenditure),14.8156,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2005,Domestic general government health expenditure (% of total government expenditure),17.1310,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2010,Domestic general government health expenditure (% of total government expenditure),18.2593,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2015,Domestic general government health expenditure (% of total government expenditure),19.5500,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2016,Domestic general government health expenditure (% of total government expenditure),19.5259,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
124,Canada,2017,Domestic general government health expenditure (% of total government expenditure),19.3279,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2000,Current health expenditure (% of GDP),4.4335,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2005,Current health expenditure (% of GDP),4.7629,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2010,Current health expenditure (% of GDP),3.7420,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2015,Current health expenditure (% of GDP),6.3090,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2016,Current health expenditure (% of GDP),4.2815,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2017,Current health expenditure (% of GDP),5.8218,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2000,Domestic general government health expenditure (% of total government expenditure),10.9348,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2005,Domestic general government health expenditure (% of total government expenditure),9.7881,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2010,Domestic general government health expenditure (% of total government expenditure),5.7239,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2015,Domestic general government health expenditure (% of total government expenditure),3.4905,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2016,Domestic general government health expenditure (% of total government expenditure),5.0091,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
140,Central African Republic,2017,Domestic general government health expenditure (% of total government expenditure),5.0349,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2000,Current health expenditure (% of GDP),5.4575,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2005,Current health expenditure (% of GDP),4.8411,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2010,Current health expenditure (% of GDP),4.0602,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2015,Current health expenditure (% of GDP),4.5240,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2016,Current health expenditure (% of GDP),4.9571,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2017,Current health expenditure (% of GDP),4.4873,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2000,Domestic general government health expenditure (% of total government expenditure),11.4038,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2005,Domestic general government health expenditure (% of total government expenditure),12.4232,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2010,Domestic general government health expenditure (% of total government expenditure),3.4975,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2015,Domestic general government health expenditure (% of total government expenditure),5.2452,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2016,Domestic general government health expenditure (% of total government expenditure),5.7250,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
148,Chad,2017,Domestic general government health expenditure (% of total government expenditure),4.6784,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2000,Current health expenditure (% of GDP),7.0352,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2005,Current health expenditure (% of GDP),6.5887,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2010,Current health expenditure (% of GDP),6.7749,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2015,Current health expenditure (% of GDP),8.3027,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2016,Current health expenditure (% of GDP),8.5174,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2017,Current health expenditure (% of GDP),8.9835,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2000,Domestic general government health expenditure (% of total government expenditure),10.9563,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2005,Domestic general government health expenditure (% of total government expenditure),12.8694,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2010,Domestic general government health expenditure (% of total government expenditure),13.6815,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2015,Domestic general government health expenditure (% of total government expenditure),16.0226,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2016,Domestic general government health expenditure (% of total government expenditure),16.7322,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
152,Chile,2017,Domestic general government health expenditure (% of total government expenditure),17.7318,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2000,Current health expenditure (% of GDP),4.4734,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2005,Current health expenditure (% of GDP),4.1422,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2010,Current health expenditure (% of GDP),4.2080,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2015,Current health expenditure (% of GDP),4.8887,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2016,Current health expenditure (% of GDP),4.9819,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2017,Current health expenditure (% of GDP),5.1512,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2000,Domestic general government health expenditure (% of total government expenditure),6.0898,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2005,Domestic general government health expenditure (% of total government expenditure),7.4888,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2010,Domestic general government health expenditure (% of total government expenditure),8.7509,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2015,Domestic general government health expenditure (% of total government expenditure),9.3933,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2016,Domestic general government health expenditure (% of total government expenditure),9.0647,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
156,China,2017,Domestic general government health expenditure (% of total government expenditure),9.0721,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2000,Current health expenditure (% of GDP),5.6523,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2005,Current health expenditure (% of GDP),6.0854,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2010,Current health expenditure (% of GDP),7.0827,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2015,Current health expenditure (% of GDP),7.2974,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2016,Current health expenditure (% of GDP),7.2137,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2017,Current health expenditure (% of GDP),7.2263,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2000,Domestic general government health expenditure (% of total government expenditure),14.8709,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2005,Domestic general government health expenditure (% of total government expenditure),16.8354,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2010,Domestic general government health expenditure (% of total government expenditure),17.3473,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2015,Domestic general government health expenditure (% of total government expenditure),17.1922,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2016,Domestic general government health expenditure (% of total government expenditure),17.9515,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
170,Colombia,2017,Domestic general government health expenditure (% of total government expenditure),17.4857,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2000,Current health expenditure (% of GDP),12.2403,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2005,Current health expenditure (% of GDP),9.8587,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2010,Current health expenditure (% of GDP),8.5150,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2015,Current health expenditure (% of GDP),7.7752,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2016,Current health expenditure (% of GDP),7.4866,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2017,Current health expenditure (% of GDP),7.3844,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2000,Domestic general government health expenditure (% of total government expenditure),9.7344,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2005,Domestic general government health expenditure (% of total government expenditure),6.6831,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2010,Domestic general government health expenditure (% of total government expenditure),3.5102,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2015,Domestic general government health expenditure (% of total government expenditure),3.8042,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2016,Domestic general government health expenditure (% of total government expenditure),3.6339,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
174,Comoros,2017,Domestic general government health expenditure (% of total government expenditure),3.3650,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2000,Current health expenditure (% of GDP),1.6939,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2005,Current health expenditure (% of GDP),1.8759,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2010,Current health expenditure (% of GDP),1.9806,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2015,Current health expenditure (% of GDP),3.4154,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2016,Current health expenditure (% of GDP),3.4869,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2017,Current health expenditure (% of GDP),2.9303,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2000,Domestic general government health expenditure (% of total government expenditure),2.2729,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2005,Domestic general government health expenditure (% of total government expenditure),1.9532,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2010,Domestic general government health expenditure (% of total government expenditure),3.6021,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2015,Domestic general government health expenditure (% of total government expenditure),2.7098,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2016,Domestic general government health expenditure (% of total government expenditure),2.8850,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
178,Congo,2017,Domestic general government health expenditure (% of total government expenditure),3.3985,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2000,Current health expenditure (% of GDP),3.2183,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2005,Current health expenditure (% of GDP),4.1707,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2010,Current health expenditure (% of GDP),3.4744,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2015,Current health expenditure (% of GDP),2.8577,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2016,Current health expenditure (% of GDP),3.4747,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2017,Current health expenditure (% of GDP),3.3078,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2000,Domestic general government health expenditure (% of total government expenditure),9.6333,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2005,Domestic general government health expenditure (% of total government expenditure),9.6333,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2010,Domestic general government health expenditure (% of total government expenditure),9.2680,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2015,Domestic general government health expenditure (% of total government expenditure),5.2150,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2016,Domestic general government health expenditure (% of total government expenditure),5.7107,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
184,Cook Islands,2017,Domestic general government health expenditure (% of total government expenditure),5.6772,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2000,Current health expenditure (% of GDP),6.5931,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2005,Current health expenditure (% of GDP),6.6952,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2010,Current health expenditure (% of GDP),8.1134,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2015,Current health expenditure (% of GDP),7.8229,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2016,Current health expenditure (% of GDP),7.5335,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2017,Current health expenditure (% of GDP),7.3288,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2000,Domestic general government health expenditure (% of total government expenditure),25.2639,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2005,Domestic general government health expenditure (% of total government expenditure),25.7056,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2010,Domestic general government health expenditure (% of total government expenditure),31.7352,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2015,Domestic general government health expenditure (% of total government expenditure),29.4917,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2016,Domestic general government health expenditure (% of total government expenditure),28.5522,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
188,Costa Rica,2017,Domestic general government health expenditure (% of total government expenditure),26.9071,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2000,Current health expenditure (% of GDP),5.6004,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2005,Current health expenditure (% of GDP),5.2877,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2010,Current health expenditure (% of GDP),6.1037,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2015,Current health expenditure (% of GDP),4.4220,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2016,Current health expenditure (% of GDP),4.5362,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2017,Current health expenditure (% of GDP),4.4530,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2000,Domestic general government health expenditure (% of total government expenditure),4.5576,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2005,Domestic general government health expenditure (% of total government expenditure),3.8913,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2010,Domestic general government health expenditure (% of total government expenditure),4.0621,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2015,Domestic general government health expenditure (% of total government expenditure),4.7484,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2016,Domestic general government health expenditure (% of total government expenditure),4.8163,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
384,Côte d’Ivoire,2017,Domestic general government health expenditure (% of total government expenditure),5.0955,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2000,Current health expenditure (% of GDP),7.6647,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2005,Current health expenditure (% of GDP),6.9124,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2010,Current health expenditure (% of GDP),8.0958,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2015,Current health expenditure (% of GDP),6.7880,Break in the time series.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2016,Current health expenditure (% of GDP),6.8263,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2017,Current health expenditure (% of GDP),6.7891,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2000,Domestic general government health expenditure (% of total government expenditure),14.6102,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
